,Answers,words
950,"Такая цель, движение к которой явно и наглядно улучшает уровень жизни работника и не ""в среднем по больнице"", а индивидуально.","['цель', 'работа', 'труд', 'смысл']"
951,"С целью оптимизации работы структурных подразделений предприятий ГК ""Росатом"" (исключения работ БДЦ) необходима декомпозиция КПЭ; исключение веерной рассылки приказов, поручений и пр.; возможно потребуется изменение орг. структуры.","['цель', 'работа', 'труд', 'смысл']"
952,"Давать заказы (распределять заказы)всем предприятиям ГК ""Росатом"". Давать возможность зарабатывать и небольшим предприятиям.Чтобы была видна помощь от ГК, а не только запрос огромного количества отчетов.","['цель', 'работа', 'труд', 'смысл']"
953,"Смотря что вкладывать в понятие ""большая цель""! Если смысловая нагрузка направлена на построение логически правильной работы и стирания не нужных стереотипов, правил, то это во многом наполнит работу, как минимум, смыслом, как максимум, желанием делать свою работу с энтузиазмом и импровизацией)","['цель', 'работа', 'труд', 'смысл']"
954,"1) Возможно, та цель, в которой более явно будет заметно мое непосредственное участие (влияние); 2) Развитие направлений, необходимых в будущем, и не всегда связанных напрямую только с обогащением. Например, вывод из эксплуатации АЭС.","['цель', 'работа', 'труд', 'смысл']"
955,"Трансформация из «атомной» Госкорпорации в критически важный базисный элемент (на основе имеющегося научного, технологического, производственного потенциала), задающий векторы дальнейшего развития государства.","['цель', 'работа', 'труд', 'смысл']"
956,"Для меня Главной ""большой целью"" Росатома, как мотиватора, является повышение уровня жизни граждан России посредством решения простых житейских проблем небогатой части населения, путем адресного перераспределения бюджетных средств, пополняемых за счет эффективной реализации бизнес-проектов Росатома в России и за рубежом","['цель', 'работа', 'труд', 'смысл']"
957,"По моему мнению, смыслом ежедневный труд наполняет интерес к работе и понимание того, что ты сделал сегодня - поможет завтра другим людям. Соответственно если твой труд не ценится или не направлен в правильное русло (линейным, в первую очередь, руководителем), то и ""Большая цель"" Росатома не поможет. А если пофантазировать: Колония на Марсе.","['цель', 'работа', 'труд', 'смысл']"
958,"Чувство сопричастности к решению хотя бы маленького кусочка Большой Задачи, а не мелкого винтика, которому Большие Дяди сказали ""Делай и помалкивай!"", но не сказали ""как"" и ""зачем"". А, иногда и ""что""...","['цель', 'работа', 'труд', 'смысл']"
959,"Лично у меня смысл есть. Мне нравится то, что я делаю. Я люблю свою работу. Признания от руководства бы хотелось( Поэтому в качестве ""большой цели"" пусть будет признание за ежедневный труд, а не только за большие заслуги (кладовщицы, секретари и т.д. и т.п.)","['цель', 'работа', 'труд', 'смысл']"
960,Цели давно уже поставлены и будут решаться вне зависимости от моего мнения и моего труда.,"['цель', 'работа', 'труд', 'смысл']"
961,"Хочу работать по своей специальности, если я буду знать что в конце концов стану аппарат иском, мытье полов будет иметь смысл.","['цель', 'работа', 'труд', 'смысл']"
962,Мой ежедневный труд и так наполнен смыслом.,"['цель', 'работа', 'труд', 'смысл']"
963,"Быть всегда на шаг впереди. Это значит, что мы должны стремится быть лидерами на глобальных рынках.","['цель', 'работа', 'труд', 'смысл']"
964,"Для меня ""большой целью"" Росатома является - повышение доли на международных рынках. Мне хотелось бы чтобы О НАС ЗНАЛИ! О НАС ГОВОРИЛИ! С НАМИ СЧИТАЛИСЬ!","['цель', 'работа', 'труд', 'смысл']"
965,"В любой цели важен результат, причём видимый результат. Ведь когда у тебя что то получается, ставишь перед собой новые цели и ожидаешь нового результата. Важна даже не цель, а то что ты хочешь от неё получить.","['цель', 'работа', 'труд', 'смысл']"
966,"В нынешнее время ""финансовая составляющая"" может мотивировать и заинтересовать ставить высокие цели и большие задачи, а затем их реализовывать.","['цель', 'работа', 'труд', 'смысл']"
967,"Лидерство на мировом рынке, отражающееся непосредственно на доходах каждого из вовлеченных в конкретную деятельность сотрудников","['цель', 'работа', 'труд', 'смысл']"
968,Мой ежедневный труд и так достаточно осмысленнен,"['цель', 'работа', 'труд', 'смысл']"
969,"я хочу гордиться своей страной в общем и своим предприятием в частности. считаю, что ВНИИЭФ не должен быть лишь ядерным считом, но должен разрабатывать и показывать миру мощное современное вооружение. чтобы нас не только уважали, но и боялись.","['цель', 'работа', 'труд', 'смысл']"
970,Все цели вдохновляют,"['цель', 'работа', 'труд', 'смысл']"
971,"Если все поставленные задачи будут приносить пользу предприятию, а не бессмысленную трату рабочего времени на разработку невыполняемых планов.","['цель', 'работа', 'труд', 'смысл']"
972,Понимание того что ты делаешь очень важно в достижении целей всей корпорации. Что твоя работа очень важна и именно ты работая в единой команде выполнять эту работу. Очень важно видеть результат своей деятельности.,"['цель', 'работа', 'труд', 'смысл']"
973,Мой ежедневный труд всегда наполнен смыслом.,"['цель', 'работа', 'труд', 'смысл']"
974,"Транспарентность помыслов, самоотдача на каждом этапе, внимание к деталям","['цель', 'работа', 'труд', 'смысл']"
975,"Мой труд наполнен смыслом, я люблю свою работу и горжусь что работаю в Росатоме. Вдохновить может несколько событий и действий: 1. Личный пример руководителей ""Не словом, а делом"" 2. Уделяйте внимание деталям, иначе гонка за ""большой целью"" только навредит.","['цель', 'работа', 'труд', 'смысл']"
976,Цели росатома мало связаны с целями и потребностями рядовых сотрудников,"['цель', 'работа', 'труд', 'смысл']"
977,Никакая. На работу вдохновляет уверенность в необходимости труда каждого работника,"['цель', 'работа', 'труд', 'смысл']"
978,"мысли о том, что наш труд не напрасен","['цель', 'работа', 'труд', 'смысл']"
979,"Мы постоянно решаем важные задачи, наполненные смыслом. Считаю вопрос несколько некорректным.","['цель', 'работа', 'труд', 'смысл']"
980,"Одна цель не может быть мотиватором - только совокупность целей и направлений будет способствовать в повышении компетенций молодых специалистов, а также сподвигать их на более конструктивную работу.","['цель', 'работа', 'труд', 'смысл']"
981,"Вопрос сформулирован так, будто сейчас я не вдохновлен и не вижу смысла:) На самом деле я бы с восторгом воспринял цель - организацию открытого пространства для отраслевых стартапов и сокращение времени от идеи до продукта. А еще у вас баг в опросной форме: на предыдущий вопрос нет возможности выбрать ответ ""Другое"", т.к. нет поля для комментария.","['цель', 'работа', 'труд', 'смысл']"
982,- Внести существенный вклад в дело мира - Стать самой высокооплачиваемой компанией,"['цель', 'работа', 'труд', 'смысл']"
983,"Меня может вдохновить ""большая цель"" всей страны, а не одного Росатома.","['цель', 'работа', 'труд', 'смысл']"
984,"Уверенность в том, что тебя не сократят или выведут за контур Росатома или аутсорсинг.","['цель', 'работа', 'труд', 'смысл']"
985,"Смысла в моей работе и так с избытком. Цели Росатома бывают часто недосягаемы для понимания рядового сотрудника. Скорее ""местные"" цели становятся вдохновителями и мотиваторами в работе.","['цель', 'работа', 'труд', 'смысл']"
986,Мой ежедневный труд может наполнить смыслом 1) интересная работа 2) достойная компенсация труда 3) работоспособный коллектив,"['цель', 'работа', 'труд', 'смысл']"
987,"Если бы смысла в ежедневном труде не было, я бы здесь не работал","['цель', 'работа', 'труд', 'смысл']"
988,"""Большая цель""- повешения эффективности Росатома в целом.","['цель', 'работа', 'труд', 'смысл']"
989,"Доверяли решать самостоятельно многие вопросы, развиваться !","['цель', 'работа', 'труд', 'смысл']"
990,"Все существующие на данный момент цели вдохновляют меня ежедневно делать свою работу на ""Отлично"".","['цель', 'работа', 'труд', 'смысл']"
991,"Вопрос некорректен. То есть без ""большой цели"" Росатома моя работа не сильно вдохновленная и не наполнена смыслом?","['цель', 'работа', 'труд', 'смысл']"
992,не готов ответить на вопрос,"['цель', 'работа', 'труд', 'смысл']"
993,"""Вдохновения"" и сейчас вполне достаточно, ежедневный труд и так переполнен ""смыслом"".","['цель', 'работа', 'труд', 'смысл']"
994,Понимание вклада каждого сотрудника в общие цели корпорации (безопасность т.д.),"['цель', 'работа', 'труд', 'смысл']"
995,"соблюдение ценностей Росатома, и самой главной уважение, уважение начальников к подчинённым и создание нормальных условий труда","['цель', 'работа', 'труд', 'смысл']"
996,"Для меня самое главное, это осознание, что мои действия кому-то помогут, кого-то вдохновят, а кого-то сделают лучше, добрее. Вот это осознание самой возможности сделать мир чуть лучше чем он есть для меня очень важно и уже придает сил.","['цель', 'работа', 'труд', 'смысл']"
997,"При подборе кадров на актуальные вакансии отдавать приоритет возможности роста работающему на нашем предприятии персоналу в соответствии с образованием и стажем работы, что даст стимул работы нашим кадрам и позволит сократить время адаптации работника на новом месте или исключить вовсе.","['цель', 'работа', 'труд', 'смысл']"
998,"Затрудняюсь ответить. Хочется чувствовать и видеть, что твой труд очень важен.","['цель', 'работа', 'труд', 'смысл']"
999,"Меня смогла бы вдохновить возможность стать частью чего то большего, чем просто технолог, я бы хотел быть реального проекта нацеленного на прорыв в технологическом и стратегическом плане.","['цель', 'работа', 'труд', 'смысл']"
1000,"Смыслом и вдохновением мой ежедневный труд наполняют не цели Росатома, а свои личные цели и абмиции, в рамках которых мне безусловно придется выполнять и цели Росатома","['цель', 'работа', 'труд', 'смысл']"
1001,"премирование рабочих и работников, особенно работающих по 8-и часовому графику, которые перерабатывают, и добиваются успеха.","['цель', 'работа', 'труд', 'смысл']"
1002,"Постоянное совершенствование своих процессов. Завоевание новых рынков, а следствие развитие бизнес-процессов и расширение своего ""рабочего"" кругозора, т.к. однообразная рутинная работа надоедает.","['цель', 'работа', 'труд', 'смысл']"
1003,"Мой ежедневный труд на данный момент наполнен смыслом, для молодежи большой целью может являться понимание конечного результата в виде продукции, станции, процессов и т.п..","['цель', 'работа', 'труд', 'смысл']"
1004,"Повышение доли не только на международных, но и на российском (неатомном) рынке. Установление такой внутриотраслевой цели, как поддержка нуждающихся категорий сотрудников (молодых сотрудников, приезжих сотрудников, молодых родителей и пр.) в т.ч. выходцев на пенсию с предприятий Росатома.","['цель', 'работа', 'труд', 'смысл']"
1005,"участие в исследовательской работе совместно с зарубежными коллегами по фундаментальным проблемам всей земли, работа которая сможет хотя бы на малую часть затронуть быт и жизнь каждого человека, сделав ее проще легче и безопаснее. Таких проблем огромное количество и я не вижу смысла их перечислять.","['цель', 'работа', 'труд', 'смысл']"
1006,"Я люблю командные цели, к которым мы идем вместе и в результате получается большая победа! Возможно, некая результативность молодежи. Итоги подводятся в конце года на массовом мероприятии. Только критерии отбора должны быть равнозначны как для специалистов, так и для рабочих профессий. Это будет некой мотивацией для эффективной работы каждый день","['цель', 'работа', 'труд', 'смысл']"
1007,"1. ""Не быть, а соответствовать"". Можно пони назвать арабским скакуном, только быстрее она от этого не побежит. Можно назвать сотрудника руководителем службы или отдела (абсолютно бестолкового специалиста, но хорошего клерка), только ожидаемого эффекта это не принесет.","['цель', 'работа', 'труд', 'смысл']"
1008,Социальные программы для каждого работника. Развитие и карьерный рост молодых сотрудников. Вознонограждение за достижения. Создание корпорацией условий работы при которых каждый сотрудник будет заинтересован в результате своей работы и сможет получить признание за личный вклад в общее дело.,"['цель', 'работа', 'труд', 'смысл']"
1009,"Никакая ""Большая цель"" не нужна! Мне было бы достаточно комфортных условий для работы на моём рабочем месте (Хороший компьютер, свободный доступ в интернет, качественная орг.техника и наличие корпоративного автобуса! Компьютер слабый, для моих рабочих нужд ""не тянет"". Терминальный интернет только препятствует выполнению моей работы и увеличивает срок её исполнения. Орг.технику проще купить самому чем выписать её на предприятии, да и та которой обеспечивают очень низкого качества. Добираться до работы на корпоративном автобусе было бы очень здорово и выгодно.","['цель', 'работа', 'труд', 'смысл']"
1010,Только «большая цель» Росатома может вдохновить меня на работу и наполнить смыслом мой ежедневный труд.,"['цель', 'работа', 'труд', 'смысл']"
1011,"Стать Корпорацией, которая максимально задействует человеческий потенциал каждого своего сотрудника и развивает его до пределов близких к совершенству","['цель', 'работа', 'труд', 'смысл']"
1012,Дайте спокойно работать. Не отвлекайте всякой фигнёй!,"['цель', 'работа', 'труд', 'смысл']"
1013,"Росатому следует больше внимания уделять сотрудникам (стремиться стать HR-ориентированной отраслью по своей сути, а не на бумаге) и меньше бюрократии в тех областях, где это возможно.","['цель', 'работа', 'труд', 'смысл']"
1014,"Для меня как для работника АЭС главной целью является обеспечение выработки электрической и тепловой энергии, которые так необходимы людям. Мой ежедневный труд наполнен смыслом тогда, когда я чувствую свою непосредственную причастность к этому.","['цель', 'работа', 'труд', 'смысл']"
1015,"Сделать одной из приоритетных целей - развитие, обучение, мотивирование и подготовку молодежи для смены своих предшественников, численность которых стала большинством. К сожалению на данный момент в отрасли не уделяется должное внимание подготовке молодой смене, мое мнение.","['цель', 'работа', 'труд', 'смысл']"
1016,"Смыслом мой ежедневный труд может наполнить уверенность в том, что мою станцию не закроют через 10 лет и я не останусь ""за забором""","['цель', 'работа', 'труд', 'смысл']"
1017,"Уважение к сотрудникам, т.к. сотрудники тоже почти контрагенты. частично это чувствуется. это вдохновляет в ответ сделать луше, качественнее, больше. хорошее отношение перевешивает чашу весов ""Время на Росатом -Личное время"" в сторону Росатома","['цель', 'работа', 'труд', 'смысл']"
1018,Решать задачи каждый день.,"['цель', 'работа', 'труд', 'смысл']"
1019,"Максимально искоренить ""бумагомарательство"", что позволило бы заниматься bvtyyj ghjbpdjlcdtyysvb - перевод бумаги в ЕОСДО - не должен","['цель', 'работа', 'труд', 'смысл']"
1020,"ценность - единая команда,цель новые продукты: получение нового передового опыта, выполнение работы которую никто до этого не делал.","['цель', 'работа', 'труд', 'смысл']"
1021,"Четкое разделение обязанностей. Поощерения за индивидуальные задачи и планы. Сокращение отчетной документации (ЕОСДО, ИС УиАС и т.п.)- для работы в этих программах нужно определить конкретный перечень должностей - убивает все время, а хочется и ""руками"" поработать (для линейных рабочих).","['цель', 'работа', 'труд', 'смысл']"
1022,только личные цели могут вдохновить на работу,"['цель', 'работа', 'труд', 'смысл']"
1023,"Ни цель может вдохновить на работу и наполнить смыслом ежедневный труд. Если работнику ставят соответствующую его знаниям и опыту задачу, либо цель, он ее будет выполнять, но качество и успешный результат зависеть будет от отношения к его труду.","['цель', 'работа', 'труд', 'смысл']"
1024,"Помощь детям специалистов отрасли (учеба, здоровье, спорт и др.). Нет смысла к чему-то стремиться, если после тебя ничего не останется.","['цель', 'работа', 'труд', 'смысл']"
1025,"для работы мне не требуются ""большие цели"" Росатома.","['цель', 'работа', 'труд', 'смысл']"
1026,"Основная мотивация в любой работе- это деньги.На работу мы все ходим зарабатывать деньги. Ни какие ""Мероприятия для семей сотрудников"" не будут наполнять смыслом ежедневный труд, если нет карьерного роста.","['цель', 'работа', 'труд', 'смысл']"
1027,"""Большая Цель"" Росатома может быть любой, меня могут вдохновить и наполнить смыслом работу личные блага получаемые на этой работе. Красивые лозунги ""больших целей"" могут быть любым, все это интересно только сторонним людям.","['цель', 'работа', 'труд', 'смысл']"
1028,"Затрудняюсь выделить конкретную цель, вдохновение появляется от совокупности всех целей.","['цель', 'работа', 'труд', 'смысл']"
1029,"Ценность в молодых специалистах. Привлекать заинтересованных кадров к всевозможным командным играм, тренингам, мастер-классам, но только в нерабочее время!","['цель', 'работа', 'труд', 'смысл']"
1030,Стратегические цели Росатома.,"['цель', 'работа', 'труд', 'смысл']"
1031,"Такой ""большой цели"" не существует","['цель', 'работа', 'труд', 'смысл']"
1032,"Вдохновляют существующие цели. И любые проекты, которые идут во благо обществу.","['цель', 'работа', 'труд', 'смысл']"
1033,"Что я работаю на уникальном предприятии, которое чтит традиции и заботится о населении, делает все возможное для повышения производительности труда, путем уменьшения бюрократии, а не наоборот.","['цель', 'работа', 'труд', 'смысл']"
1034,"Мне не нужна большая цель, я достаточно мотивирован. Моя работа интересная, я иду на неё с удовольствием.","['цель', 'работа', 'труд', 'смысл']"
1035,"Реальная оптимизация ""бумажных"" процессов; снижение объёма отчётности, которую никто не читает. Создание удобных и реально работающих отраслевых платформ по сбору и обработке данных.","['цель', 'работа', 'труд', 'смысл']"
1036,"Осмысленная работа, которая привнесет вклад в развитие предприятия.","['цель', 'работа', 'труд', 'смысл']"
1037,"Меня вдохновляет созидательная работа в команде с любой ПРОИЗВОДСТВЕННОЙ целью. И в прошлом вопросе нет места для ввода комментария, пишу здесь: Наиболее эффективными форматами мероприятий по работе с молодежью был бы так же молодежный электронный форум, WhatsApp. Спасибо и удачи в развитии Совета молодежи!","['цель', 'работа', 'труд', 'смысл']"
1038,Достижение ГК Росатом стратегических целей,"['цель', 'работа', 'труд', 'смысл']"
1039,"Мне непонятен вопрос. О каких ""больших целях"" идет речь? Возможно, указав в опросе эти ""большие цели"", было бы проще ответить на этот вопрос. Для выполнения своих обязанностей у меня достаточно мотивации.","['цель', 'работа', 'труд', 'смысл']"
1040,не могу ответить на этот вопрос,"['цель', 'работа', 'труд', 'смысл']"
1041,"1.Действительная забота о росте благосостояния сотрудников, зарплатная политика и социальная поддержка без перекосов (когда в одном филиале/ЦА разрешено то, что отсутствует в другом филиале) 2.Приоритет на выполнение непосредственных производственных задач,а развитие вспомогательных направлений, направленных якобы на улучшение производственного процесса - во вторую и третью очередь, без ущерба и вреда для основной деятельности.","['цель', 'работа', 'труд', 'смысл']"
1042,"Вдохновить на работу и наполнить смыслом наш ежедневный труд сможет непосредственный руководитель, который по достоинству оценит работу подчинённого персонала и будет держать свои данные обещания.","['цель', 'работа', 'труд', 'смысл']"
1043,"Все на работу ходят для получения средств для существования в этом мире. Для меня значимым будет получение денежного вознаграждения за мою работу - повышение ИСН, разовые премии, повышение должности и т.д. Именно эта возможность как правило вдохновляет большинство людей.","['цель', 'работа', 'труд', 'смысл']"
1044,Цель уже есть. Быть первыми и лучшими.,"['цель', 'работа', 'труд', 'смысл']"
1045,"Банальность, но это материальные поощрения. Все таки свои мечты мы можем осуществить только по средствам денег.","['цель', 'работа', 'труд', 'смысл']"
1046,"Затрудняюсь ответить, мой труд и так наполнен смыслом :)","['цель', 'работа', 'труд', 'смысл']"
1047,"Достижение мирового уровня медицинских изысканий, особенно в бионике и аугметике, хотя Росатом этим не занимается, но в рамках текущего сотрудничества по радиомедицине можно было бы расширить компетенции. А так, в принципе, любая, после достижения которой я бы мог чувствовать себя частью сильной команды. И был бы престиж профессии. А не каждый раз слышать от знакомых вопрос, зачем(тут я сильно смягчил) я работаю во ВНИИ.","['цель', 'работа', 'труд', 'смысл']"
1048,"Я работаю за деньги, а не за идею. Вы же в курсе, что в предыдущем вопросе нет поля для комментария, а вариант ответа ""укажите в комментарии"" есть?","['цель', 'работа', 'труд', 'смысл']"
1049,"Причастность меня, как специалиста, в достижении конкретного большого результата Росатома, реализации проекта. Оцененный руководством вклад конкретного отдела или управления в результаты компании, с обратной связью и анализом выполненной работы.","['цель', 'работа', 'труд', 'смысл']"
1050,Такой целью является сохранение мирового лидерства Росатома в ядерной энергетике и увеличение дистанции от конкурентов. Стремление к данно,"['цель', 'работа', 'труд', 'смысл']"
1051,Мой ежедневный труд всегда наполен смыслом. Иначе как без смысла можно вообще работать!,"['цель', 'работа', 'труд', 'смысл']"
1052,Ценность -это люди. К каждому нужен индивидуальный подход и подбор мотивации.,"['цель', 'работа', 'труд', 'смысл']"
1053,"Инновации, введение новых продуктов атомной отрасли на Российские и международные рынки. Я являюсь частью большой, сложной структуры, я с гордостью могу сказать где я работаю, и каким важным (без преувеличения) делом мы занимаемся.","['цель', 'работа', 'труд', 'смысл']"
1054,Цель которая позволит гордится не только Компанией но также принесет неоценимую помощь населению наше страны.,"['цель', 'работа', 'труд', 'смысл']"
1055,"Для достижения ""больших целей"" Росатома нужно ценить и мотивировать кадры, которые делают все для достижения этих целей.","['цель', 'работа', 'труд', 'смысл']"
1056,"чтобы ветераны и сотрудники Росатома в регионах и на центральных предприятиях не работали за гроши, а имели приличный достаток и гордились своей работой. чтобы ""эффективность"" была не просто названием ценности Росатома, а реальным качеством всех процессов.","['цель', 'работа', 'труд', 'смысл']"
1057,"Цели исходят из ""Стратегических целей Росатома"": 1) Повышение доли на международных рынках 2) Снижение себестоимости и сроков протекания процессов 3) Новые продукты для Российского и международных рынков. Считаю для ""Отраслевого совета молодежи"" необходимо составить свои стратегические цели, вытекающие конечно из общекорпоративных, и следовать их достижению на своем уровне.","['цель', 'работа', 'труд', 'смысл']"
1058,"Сомневаюсь что такая цель существует. Но было бы неплохо покончить с бессмысленным раздуванием штата и кумовством, тем самым повысив эффективность работы и увеличив зарплаты!","['цель', 'работа', 'труд', 'смысл']"
1059,"Видеть в живую результат своей работы. Это не относится к вопросу, но очень хочется в коллегах по предприятию, и росатому в целом, видеть людей, желающих помочь тебе решить трудный вопрос, а не банальное перекидывание ответственности, игнорирование писем, звонком и просьб. Абсолютное равнодушие убивает желание работать гораздо сильнее, нежели некомпетентное руководство, желающее только все запретить и всех наказать, или псевдо ""молодежное общество"", тратящее выделенный бюджет на неподобающее времяпровождение со своими приближенными.","['цель', 'работа', 'труд', 'смысл']"
1060,"Грамотная денежная мотивация, так как, когда премии выдаются лично, а снимаются сразу со всего управление, за срыв сроков по объектам, которыми ты даже не занимаешься, тогда ни о какой мотивации и речи быть не может. Подавляющее большинство работает только ради денег,потому что жить на что-то надо, а социальное развитие и прочее, это скорее бонус, который тем не менее никак не влияет на твой личный рабочий результат и не вдохновляет относиться к работе более, чем формально.","['цель', 'работа', 'труд', 'смысл']"
1061,"Понимание ценности каждого сотрудника. С одной стороны, это признание результатов его работы, с другой - материальное вознаграждение.","['цель', 'работа', 'труд', 'смысл']"
1062,Направленность на конечный результат наполняет смыслом мой ежедневный труд,"['цель', 'работа', 'труд', 'смысл']"
1063,"Уверенность в том,что проектируемые объекты будут построены.","['цель', 'работа', 'труд', 'смысл']"
1064,"Понимание, что твои действия влияют на общее развитие отрасли, очень важно для меня","['цель', 'работа', 'труд', 'смысл']"
1065,"Вдохновить и наполнить смыслом мой ежедневный труд поможет тот факт, если мою работу и работу моих коллег будут ценить.","['цель', 'работа', 'труд', 'смысл']"
1066,"Сделать продукт безопасным и ценным для всех, а аспекты труда таковыми, чтоб всегда было ощущение необходимости результатов твоего труда","['цель', 'работа', 'труд', 'смысл']"
1067,"Постановка перед собой целью развитие атомной энергетики и осознавание зачем мы это делаем! Условно - необходимо довести процент производства эл/энергии на АЭС до 38%. Для этого необходимо как строить новые, так и улучшать существующие станции для увеличение срока работы и эксплуатации станций. Также развитие новых направлений производства эл/энергии на станциях в виде внедрения АСММ, АТЭЦ, Атомных производственных кластеров.","['цель', 'работа', 'труд', 'смысл']"
1068,"При текущей организации работы проектного блока с неконтролируемой системой управления проектами, при которой исполнитель получает от разных источников в день по пять сверхсрочных задач влияющих на вехи ""больших целей"" Росатома, отсутствии прозрачной системы мотивации и распределения бонусов за достижения вех проекта любые амбициозные цели воспринимаются как пускание пыли в глаза.","['цель', 'работа', 'труд', 'смысл']"
