,Answers,Number of Words,answers_without_stopwords,cleaned_answers
1182,"Создание новых продуктов, снижение себестоимости уже существующих продуктов за счет усовершенствования производственного цикла",13,"Создание новых продуктов, снижение себестоимости существующих продуктов счет усовершенствования производственного цикла",создание новых продуктов  снижение себестоимости существующих продуктов счет усовершенствования производственного цикла
1183,"создание новых высокотехнологичных продуктов, аналогов которых нет в мире",9,"создание новых высокотехнологичных продуктов, аналогов которых мире",создание новых высокотехнологичных продуктов  аналогов которых мире
1184,Оставаться быть лидером и развивать инновационную деятельность в мировом масштабе,10,Оставаться лидером развивать инновационную деятельность мировом масштабе,оставаться лидером развивать инновационную деятельность мировом масштабе
1185,"Какие то глобальные инициативы а-ля ""Атомная энергия в каждый дом""))) Но вообще, цель по продвижению атомной энергетики как одной из самых сбалансированных по критериям цена-безопасность-эффективность",25,"Какие глобальные инициативы а-ля ""Атомная энергия каждый дом""))) Но вообще, цель продвижению атомной энергетики одной самых сбалансированных критериям цена-безопасность-эффективность",какие глобальные инициативы а ля  атомная энергия каждый дом     но вообще  цель продвижению атомной энергетики одной самых сбалансированных критериям цена безопасность эффективность
1186,"Доверяли решать самостоятельно многие вопросы, развиваться !",7,"Доверяли решать самостоятельно многие вопросы, развиваться !",доверяли решать самостоятельно многие вопросы  развиваться  
1187,Создание новых продуктов для Российского и международного рынков.,8,Создание новых продуктов Российского международного рынков.,создание новых продуктов российского международного рынков 
1188,Освоение международных рынков,3,Освоение международных рынков,освоение международных рынков
1189,"Все существующие на данный момент цели вдохновляют меня ежедневно делать свою работу на ""Отлично"".",14,"Все существующие данный момент цели вдохновляют ежедневно делать работу ""Отлично"".",все существующие данный момент цели вдохновляют ежедневно делать работу  отлично  
1190,Моя работа меня уже вдохновляет.,5,Моя работа вдохновляет.,моя работа вдохновляет 
1191,участие в новых проектах зарубежом,5,участие новых проектах зарубежом,участие новых проектах зарубежом
1192,"Вопрос некорректен. То есть без ""большой цели"" Росатома моя работа не сильно вдохновленная и не наполнена смыслом?",17,"Вопрос некорректен. То ""большой цели"" Росатома работа сильно вдохновленная наполнена смыслом?",вопрос некорректен  то  большой цели  росатома работа сильно вдохновленная наполнена смыслом 
1193,"Цель-продвижение Росатома, как на российском, так и на международном рынке.",10,"Цель-продвижение Росатома, российском, международном рынке.",цель продвижение росатома  российском  международном рынке 
1194,не готов ответить на вопрос,5,готов ответить вопрос,готов ответить вопрос
1195,Возможность ротации между предприятиями Росатома для повышения своих компетенций. Международные продукты.,11,Возможность ротации предприятиями Росатома повышения своих компетенций. Международные продукты.,возможность ротации предприятиями росатома повышения своих компетенций  международные продукты 
1196,Создание проекта.,2,Создание проекта.,создание проекта 
1197,"Интересные, логически понятные технические задачи. Которые смогут развить творческий потенциал работника отрасли.",12,"Интересные, логически понятные технические задачи. Которые смогут развить творческий потенциал работника отрасли.",интересные  логически понятные технические задачи  которые смогут развить творческий потенциал работника отрасли 
1198,Большая цель,2,Большая цель,большая цель
1199,"создание новых продуктов для российского и международного рынков, повышение доли уже существующих продуктов на внешнем рынке",16,"создание новых продуктов российского международного рынков, повышение доли существующих продуктов внешнем рынке",создание новых продуктов российского международного рынков  повышение доли существующих продуктов внешнем рынке
1200,Конкурентоспособность на мировом уровне,4,Конкурентоспособность мировом уровне,конкурентоспособность мировом уровне
1201,"""Вдохновения"" и сейчас вполне достаточно, ежедневный труд и так переполнен ""смыслом"".",11,"""Вдохновения"" вполне достаточно, ежедневный труд переполнен ""смыслом"".", вдохновения  вполне достаточно  ежедневный труд переполнен  смыслом  
1202,Интересная и высокооплачиваемая работа.,4,Интересная высокооплачиваемая работа.,интересная высокооплачиваемая работа 
1203,Работа на благо людям,4,Работа благо людям,работа благо людям
1204,Понимание вклада каждого сотрудника в общие цели корпорации (безопасность т.д.),10,Понимание вклада каждого сотрудника общие цели корпорации (безопасность т.д.),понимание вклада каждого сотрудника общие цели корпорации  безопасность т д  
1205,Догнать и перегнать Westinghouse и AREVA/FRAMATOME ),7,Догнать перегнать Westinghouse AREVA/FRAMATOME ),догнать перегнать westinghouse areva framatome  
1206,"создание принципиально новых типов реакторов, использование мирного атома для новых отраслей промышленности и жизненной деятельности",15,"создание принципиально новых типов реакторов, использование мирного атома новых отраслей промышленности жизненной деятельности",создание принципиально новых типов реакторов  использование мирного атома новых отраслей промышленности жизненной деятельности
1207,"Уважение к молодым сотрудникам, возможность давать узнавать что то новое, получать опыт, социальные программы для молодёжи.",16,"Уважение молодым сотрудникам, возможность давать узнавать новое, получать опыт, социальные программы молодёжи.",уважение молодым сотрудникам  возможность давать узнавать новое  получать опыт  социальные программы молодёжи 
1208,"соблюдение ценностей Росатома, и самой главной уважение, уважение начальников к подчинённым и создание нормальных условий труда",16,"соблюдение ценностей Росатома, самой главной уважение, уважение начальников подчинённым создание нормальных условий труда",соблюдение ценностей росатома  самой главной уважение  уважение начальников подчинённым создание нормальных условий труда
1209,"Знать, что топ менеджмент Росатома в курсе что происходит в их дивизионах подробнее.",13,"Знать, топ менеджмент Росатома курсе происходит дивизионах подробнее.",знать  топ менеджмент росатома курсе происходит дивизионах подробнее 
1210,Развитие технологий где отставание от зарубежных аналогов.,7,Развитие технологий отставание зарубежных аналогов.,развитие технологий отставание зарубежных аналогов 
1211,- повышение доли на международных рынках; - новые продукты для российского и международных рынков.,14,- повышение доли международных рынках; - новые продукты российского международных рынков.,  повышение доли международных рынках    новые продукты российского международных рынков 
1212,"Для меня самое главное, это осознание, что мои действия кому-то помогут, кого-то вдохновят, а кого-то сделают лучше, добрее. Вот это осознание самой возможности сделать мир чуть лучше чем он есть для меня очень важно и уже придает сил.",38,"Для самое главное, это осознание, мои действия кому-то помогут, кого-то вдохновят, кого-то сделают лучше, добрее. Вот это осознание самой возможности сделать мир очень важно придает сил.",для самое главное  это осознание  мои действия кому то помогут  кого то вдохновят  кого то сделают лучше  добрее  вот это осознание самой возможности сделать мир очень важно придает сил 
1213,Какие либо прорывные проекты в которых я бы мог поучаствовать и быть первопроходцем!))),13,Какие либо прорывные проекты которых мог поучаствовать первопроходцем!))),какие либо прорывные проекты которых мог поучаствовать первопроходцем    
1214,Продвижение продукции на международные рынки.,5,Продвижение продукции международные рынки.,продвижение продукции международные рынки 
1215,Создание продукта позволяющего: - занимать лидирующие позиции на российском и международных рынках; - развивать новые направления; - развивать экономику страны.,20,Создание продукта позволяющего: - занимать лидирующие позиции российском международных рынках; - развивать новые направления; - развивать экономику страны.,создание продукта позволяющего    занимать лидирующие позиции российском международных рынках    развивать новые направления    развивать экономику страны 
1216,Дешевая зеленая энергия моим детям.,5,Дешевая зеленая энергия моим детям.,дешевая зеленая энергия моим детям 
1217,Участие в получении международных патентов,5,Участие получении международных патентов,участие получении международных патентов
1218,деньги,1,деньги,деньги
1219,"Создание неперехватываемых, незасекаемых гиперзвуковых баллистических ракет с термоядерными боеголовками первого удара для гарантированного уничтожения крупнейших городов и военных баз США. А после этого создание термоядерного ректора для достижения мировой гегемонии",30,"Создание неперехватываемых, незасекаемых гиперзвуковых баллистических ракет термоядерными боеголовками первого удара гарантированного уничтожения крупнейших городов военных баз США. А создание термоядерного ректора достижения мировой гегемонии",создание неперехватываемых  незасекаемых гиперзвуковых баллистических ракет термоядерными боеголовками первого удара гарантированного уничтожения крупнейших городов военных баз сша  а создание термоядерного ректора достижения мировой гегемонии
1220,"При подборе кадров на актуальные вакансии отдавать приоритет возможности роста работающему на нашем предприятии персоналу в соответствии с образованием и стажем работы, что даст стимул работы нашим кадрам и позволит сократить время адаптации работника на новом месте или исключить вовсе.",40,"При подборе кадров актуальные вакансии отдавать приоритет возможности роста работающему нашем предприятии персоналу соответствии образованием стажем работы, даст стимул работы нашим кадрам позволит сократить время адаптации работника новом месте исключить вовсе.",при подборе кадров актуальные вакансии отдавать приоритет возможности роста работающему нашем предприятии персоналу соответствии образованием стажем работы  даст стимул работы нашим кадрам позволит сократить время адаптации работника новом месте исключить вовсе 
1221,покорение арктики,2,покорение арктики,покорение арктики
1222,Обеспечение достойного дохода своим сотрудникам,5,Обеспечение достойного дохода своим сотрудникам,обеспечение достойного дохода своим сотрудникам
1223,Перспективные/интересные проекты,2,Перспективные/интересные проекты,перспективные интересные проекты
1224,"Затрудняюсь ответить. Хочется чувствовать и видеть, что твой труд очень важен.",11,"Затрудняюсь ответить. Хочется чувствовать видеть, твой труд очень важен.",затрудняюсь ответить  хочется чувствовать видеть  твой труд очень важен 
1225,"Высокая зарплата, различные льготы, социальная программа",6,"Высокая зарплата, различные льготы, социальная программа",высокая зарплата  различные льготы  социальная программа
1226,Оплата труда.,2,Оплата труда.,оплата труда 
1227,"Новые продукты для российского и международных рынков, требующие новых инноваций",10,"Новые продукты российского международных рынков, требующие новых инноваций",новые продукты российского международных рынков  требующие новых инноваций
1228,Участие в проектах: - по снижению себестоимости продукции; - по реализации неликвидов; - реорганизации складского хозяйства; - налаживании эффективных коммуникаций.,20,Участие проектах: - снижению себестоимости продукции; - реализации неликвидов; - реорганизации складского хозяйства; - налаживании эффективных коммуникаций.,участие проектах    снижению себестоимости продукции    реализации неликвидов    реорганизации складского хозяйства    налаживании эффективных коммуникаций 
1229,Новые проекты нацеленные на создание новых продуктов для внутреннего и международного рынков.,12,Новые проекты нацеленные создание новых продуктов внутреннего международного рынков.,новые проекты нацеленные создание новых продуктов внутреннего международного рынков 
1230,"Постоянная, поддерживаемая на всех уровнях и последовательная политика по сокращению времени протекания процессов, внедрению улучшений, оптимизации. Работа с нерациональными явлениями в работе.",22,"Постоянная, поддерживаемая уровнях последовательная политика сокращению времени протекания процессов, внедрению улучшений, оптимизации. Работа нерациональными явлениями работе.",постоянная  поддерживаемая уровнях последовательная политика сокращению времени протекания процессов  внедрению улучшений  оптимизации  работа нерациональными явлениями работе 
1231,лидерство на мировом рынке атомной энергетики,6,лидерство мировом рынке атомной энергетики,лидерство мировом рынке атомной энергетики
1232,дальнейшая безопасная эксплуатация объектов ЯТЦ и АЭС,7,дальнейшая безопасная эксплуатация объектов ЯТЦ АЭС,дальнейшая безопасная эксплуатация объектов ятц аэс
1233,"Наверное, ""новые продукты"". Интересно сталкиваться с новыми задачами в процессе разработки нового оборудования.",13,"Наверное, ""новые продукты"". Интересно сталкиваться новыми задачами процессе разработки нового оборудования.",наверное   новые продукты   интересно сталкиваться новыми задачами процессе разработки нового оборудования 
1234,Мир без границ; поддержка семейных ценностей; доступное образование; высокотехнологичное и доступное медицинское обеспечение,13,Мир границ; поддержка семейных ценностей; доступное образование; высокотехнологичное доступное медицинское обеспечение,мир границ  поддержка семейных ценностей  доступное образование  высокотехнологичное доступное медицинское обеспечение
1235,"1 Обеспечение всех предприятий ""РОСАТОМА"" проектами и работами на перспективу. 2 ОПТИМИЗАЦИЯ ПРОЦЕССА ЗАКУПКИ МАТЕРИАЛОВ и ОФОРМЛЕНИЯ ДОГОВОРНЫХ ОТНОШЕНИЙ 3 Создание экспертных рабочих групп предприятий отрасли с целью разработки новых продуктов",31,"1 Обеспечение предприятий ""РОСАТОМА"" проектами работами перспективу. 2 ОПТИМИЗАЦИЯ ПРОЦЕССА ЗАКУПКИ МАТЕРИАЛОВ ОФОРМЛЕНИЯ ДОГОВОРНЫХ ОТНОШЕНИЙ 3 Создание экспертных рабочих групп предприятий отрасли целью разработки новых продуктов", обеспечение предприятий  росатома  проектами работами перспективу   оптимизация процесса закупки материалов оформления договорных отношений  создание экспертных рабочих групп предприятий отрасли целью разработки новых продуктов
1236,Повышение благосостояния сотрудников,3,Повышение благосостояния сотрудников,повышение благосостояния сотрудников
1237,социальная защищенность,2,социальная защищенность,социальная защищенность
1238,"Если инженер получает, как продавец, он не будет полноценно мотивирован на достижение наивысшего трудового результата. За 4,5 года зарплаты так и не догнали уровень 2013 года в то время, как с тех пор основные мировые валюты претерпели инфляцию. При том, что выручка предприятия теоретически увеличилась прямо пропорционально росту курса основных мировых валют (в рублях, в которых мы получаем зарплату), а с учетом сдерживания зарплат (за исключением руководства)... В общем, цели Росатома не учитывают цели его работников (работать продуктивно, жить без экономии на еде и одежде), соответственно ни одна цель не способна то, что указано в вопросе. P.S: Знаете, чем принципиально отличается работа инженером в Росатоме от работы блинопеком в ""Теремке""? Тем, что там дают ДМС через 2 года работы, а здесь сразу.",122,"Если инженер получает, продавец, полноценно мотивирован достижение наивысшего трудового результата. За 4,5 года зарплаты догнали уровень 2013 года время, тех пор основные мировые валюты претерпели инфляцию. При том, выручка предприятия теоретически увеличилась прямо пропорционально росту курса основных мировых валют (в рублях, которых получаем зарплату), учетом сдерживания зарплат (за исключением руководства)... В общем, цели Росатома учитывают цели работников (работать продуктивно, жить экономии еде одежде), соответственно одна цель способна то, указано вопросе. P.S: Знаете, принципиально отличается работа инженером Росатоме работы блинопеком ""Теремке""? Тем, дают ДМС 2 года работы, сразу.",если инженер получает  продавец  полноценно мотивирован достижение наивысшего трудового результата  за   года зарплаты догнали уровень  года время  тех пор основные мировые валюты претерпели инфляцию  при том  выручка предприятия теоретически увеличилась прямо пропорционально росту курса основных мировых валют  в рублях  которых получаем зарплату   учетом сдерживания зарплат  за исключением руководства     в общем  цели росатома учитывают цели работников  работать продуктивно  жить экономии еде одежде   соответственно одна цель способна то  указано вопросе  p s  знаете  принципиально отличается работа инженером росатоме работы блинопеком  теремке   тем  дают дмс  года работы  сразу 
1239,"Повышение уровня лояльности населения к деятельности ГК ""Росатом"". Развитие бренда ""Корпорации знаний"".",12,"Повышение уровня лояльности населения деятельности ГК ""Росатом"". Развитие бренда ""Корпорации знаний"".",повышение уровня лояльности населения деятельности гк  росатом   развитие бренда  корпорации знаний  
1240,Работа над задачей результат которой зависит от тебя.,8,Работа задачей результат которой зависит тебя.,работа задачей результат которой зависит тебя 
1241,практическая полезность отрасли,3,практическая полезность отрасли,практическая полезность отрасли
1242,быть первым,2,первым,первым
1243,"Интересные мероприятия, объединяющие молодежь Росатом",5,"Интересные мероприятия, объединяющие молодежь Росатом",интересные мероприятия  объединяющие молодежь росатом
1244,Повышение З/П,2,Повышение З/П,повышение з п
1245,Обеспечение людей электричеством.,3,Обеспечение людей электричеством.,обеспечение людей электричеством 
1246,"увеличение иностранного портфеля заказов, продвижение топлива на зарубежном рынке",9,"увеличение иностранного портфеля заказов, продвижение топлива зарубежном рынке",увеличение иностранного портфеля заказов  продвижение топлива зарубежном рынке
1247,"Меня смогла бы вдохновить возможность стать частью чего то большего, чем просто технолог, я бы хотел быть реального проекта нацеленного на прорыв в технологическом и стратегическом плане.",27,"Меня смогла вдохновить возможность стать частью большего, просто технолог, хотел реального проекта нацеленного прорыв технологическом стратегическом плане.",меня смогла вдохновить возможность стать частью большего  просто технолог  хотел реального проекта нацеленного прорыв технологическом стратегическом плане 
1248,Цифровизация. Постоянное усовершенствование во всех направлениях. Новые продукты.,8,Цифровизация. Постоянное усовершенствование направлениях. Новые продукты.,цифровизация  постоянное усовершенствование направлениях  новые продукты 
1249,"Смыслом и вдохновением мой ежедневный труд наполняют не цели Росатома, а свои личные цели и абмиции, в рамках которых мне безусловно придется выполнять и цели Росатома",26,"Смыслом вдохновением ежедневный труд наполняют цели Росатома, свои личные цели абмиции, рамках которых безусловно придется выполнять цели Росатома",смыслом вдохновением ежедневный труд наполняют цели росатома  свои личные цели абмиции  рамках которых безусловно придется выполнять цели росатома
1250,"Переход на новые методы управления проектами (Scram, Kanban, Agile)",9,"Переход новые методы управления проектами (Scram, Kanban, Agile)",переход новые методы управления проектами  scram  kanban  agile 
1251,Технологическое лидерство,2,Технологическое лидерство,технологическое лидерство
1252,да,1,,
1253,"Повышение качества и безопасности. Для этого необходимо повысить квалификацию персонала. А это значит, что специалисты получат больше знаний и выше зарплату.",21,"Повышение качества безопасности. Для необходимо повысить квалификацию персонала. А это значит, специалисты получат знаний выше зарплату.",повышение качества безопасности  для необходимо повысить квалификацию персонала  а это значит  специалисты получат знаний выше зарплату 
1254,"премирование рабочих и работников, особенно работающих по 8-и часовому графику, которые перерабатывают, и добиваются успеха.",15,"премирование рабочих работников, особенно работающих 8-и часовому графику, которые перерабатывают, добиваются успеха.",премирование рабочих работников  особенно работающих  и часовому графику  которые перерабатывают  добиваются успеха 
1255,Мир во всём мире,4,Мир всём мире,мир всём мире
1256,"Постоянное совершенствование своих процессов. Завоевание новых рынков, а следствие развитие бизнес-процессов и расширение своего ""рабочего"" кругозора, т.к. однообразная рутинная работа надоедает.",21,"Постоянное совершенствование своих процессов. Завоевание новых рынков, следствие развитие бизнес-процессов расширение своего ""рабочего"" кругозора, т.к. однообразная рутинная работа надоедает.",постоянное совершенствование своих процессов  завоевание новых рынков  следствие развитие бизнес процессов расширение своего  рабочего  кругозора  т к  однообразная рутинная работа надоедает 
1257,Сама работа в Росатоме вдохновляет!,5,Сама работа Росатоме вдохновляет!,сама работа росатоме вдохновляет 
1258,"Мой ежедневный труд на данный момент наполнен смыслом, для молодежи большой целью может являться понимание конечного результата в виде продукции, станции, процессов и т.п..",24,"Мой ежедневный труд данный момент наполнен смыслом, молодежи большой целью являться понимание конечного результата виде продукции, станции, процессов т.п..",мой ежедневный труд данный момент наполнен смыслом  молодежи большой целью являться понимание конечного результата виде продукции  станции  процессов т п  
1259,"Уверенность в реализации своих сил, а так же достойная оплата труда.",11,"Уверенность реализации своих сил, достойная оплата труда.",уверенность реализации своих сил  достойная оплата труда 
1260,я уже прошла опрос по миссии,6,прошла опрос миссии,прошла опрос миссии
1261,Вдохновляет участие в создании ледоколов,5,Вдохновляет участие создании ледоколов,вдохновляет участие создании ледоколов
1262,Создание мощного атомного флота России!,5,Создание мощного атомного флота России!,создание мощного атомного флота россии 
1263,"Повышение доли не только на международных, но и на российском (неатомном) рынке. Установление такой внутриотраслевой цели, как поддержка нуждающихся категорий сотрудников (молодых сотрудников, приезжих сотрудников, молодых родителей и пр.) в т.ч. выходцев на пенсию с предприятий Росатома.",37,"Повышение доли международных, российском (неатомном) рынке. Установление внутриотраслевой цели, поддержка нуждающихся категорий сотрудников (молодых сотрудников, приезжих сотрудников, молодых родителей пр.) т.ч. выходцев пенсию предприятий Росатома.",повышение доли международных  российском  неатомном  рынке  установление внутриотраслевой цели  поддержка нуждающихся категорий сотрудников  молодых сотрудников  приезжих сотрудников  молодых родителей пр   т ч  выходцев пенсию предприятий росатома 
1264,Эффективность,1,Эффективность,эффективность
1265,"Рисковое инвестирование в проекты молодых сотрудников. Помощь в организации бизнеса по идеям молодежи, на основе решения какого нибудь инвестиционного совета.",20,"Рисковое инвестирование проекты молодых сотрудников. Помощь организации бизнеса идеям молодежи, основе решения какого инвестиционного совета.",рисковое инвестирование проекты молодых сотрудников  помощь организации бизнеса идеям молодежи  основе решения какого инвестиционного совета 
1266,Создание новой конкурентоспособной продукции,4,Создание новой конкурентоспособной продукции,создание новой конкурентоспособной продукции
1267,Работа для обеспечения обороноспособности страны.,5,Работа обеспечения обороноспособности страны.,работа обеспечения обороноспособности страны 
1268,"Разработка абсолютно новых продуктов и конструкций, связанных с работой групп во главе с талантливейшими ведущими инженерами-конструкторами",16,"Разработка абсолютно новых продуктов конструкций, связанных работой групп главе талантливейшими ведущими инженерами-конструкторами",разработка абсолютно новых продуктов конструкций  связанных работой групп главе талантливейшими ведущими инженерами конструкторами
1269,"вершить добрые дела , видеть результат своей работы!",8,"вершить добрые дела , видеть результат своей работы!",вершить добрые дела   видеть результат своей работы 
1270,Обеспечить мир инновациями на основе атомных технологий.,7,Обеспечить мир инновациями основе атомных технологий.,обеспечить мир инновациями основе атомных технологий 
1271,Предоставление ежегодных оплачиваемых отпусков в удобное для работника время и ВОЗМОЖНОСТЬ сместить его относительно утвержденного графика!,16,Предоставление ежегодных оплачиваемых отпусков удобное работника время ВОЗМОЖНОСТЬ сместить относительно утвержденного графика!,предоставление ежегодных оплачиваемых отпусков удобное работника время возможность сместить относительно утвержденного графика 
