,Какая «большая цель» Росатома может вдохновить Вас на работу и наполнить смыслом ваш ежедневный труд?
988,Снижение издержек
989,Оценка эффективности деятельности
990,Мой ежедневный труд и так наполнен смыслом.
991,Возможность карьерного роста по госкорпорации
992,"высокая зарплата, карьерный рост."
993,Обеспечение безопасности и экономического роста Российской Федерации
994,Продвижение новых продуктов и выход на международные рынки
995,Создание будущего
996,"Быть всегда на шаг впереди. Это значит, что мы должны стремится быть лидерами на глобальных рынках."
997,не готова ответить. Для начала больше поддержки молодёжи на местах от руководителей.
998,Обеспечение обороноспособности страны
999,",,Щит страны,,"
1000,зар. плата
1001,"Для меня ""большой целью"" Росатома является - повышение доли на международных рынках. Мне хотелось бы чтобы О НАС ЗНАЛИ! О НАС ГОВОРИЛИ! С НАМИ СЧИТАЛИСЬ!"
1002,Карьерный рост
1003,достижение глобального технологического лидерства
1004,делать мир лучше прекратить заниматься очковтирательством
1005,"Личное общение руководителей предприятий и молодежи,проявление интереса к их деятельности,а не формальное отношение."
1006,Снижение себестоимости продукции. Производство новых продуктов для внутренних и международных рынков.
1007,Интерес к работе
1008,Сила в единстве!
1009,Создание реального нового продукта. В свое время участие в создании Атомного проекта породило в людях единство и понимание реализации данной цели.
1010,Повысить благосостояние его работников
1011,"Освоение Арктики, обеспечение безопасности на СМП"
1012,Максимальное доминирование ядерного вооружения России на международной арене.
1013,понятия не имею
1014,"Уменьшение себестоимости выпускаемой продукции, увеличение присутствия продукции гос.корпорации ""Росатом"" на международных рынках"
1015,"Постоянное совершенствование технологий, что позволяет постоянно учиться и профессионально расти."
1016,Единая команда и общие цели.
1017,сохранение и преумножение величия российской отрасли атомной энергетики
1018,Внедрение новых совершенных технологий.
1019,Приносить пользу предприятию и стране. Не допустить отставания в профильном направлении.
1020,"В любой цели важен результат, причём видимый результат. Ведь когда у тебя что то получается, ставишь перед собой новые цели и ожидаешь нового результата. Важна даже не цель, а то что ты хочешь от неё получить."
1021,Амбициозные задачи для молодежи
1022,Перспектива карьерного роста
1023,Быть единой командой и работать на благо России и Росатома
1024,Беспрецендентное соблюдение сроков и обязательств
1025,Лидер среди Госкорпораций РФ
1026,Бесплатное электричество для жителей РФ
1027,Повышение благосостояния и социального статуса своих сотрудников
1028,Экологически чистая энергия в каждый дом
1029,Понимание направления развития Росатома в конкретных показателях на 5 лет
1030,Обеспечение безопасности РФ
1031,"Реализация новых, свежих идей, генерируемых молодежью, работающей в отрасли."
1032,повышение своих компетенций и обмен опыта с иностранными коллегами
1033,Обеспечение суверенитета РФ и увеличение скорости роста экономики
1034,соответствие затраченного труда оплате.
1035,Делаем одно большое дело!!!
1036,"В нынешнее время ""финансовая составляющая"" может мотивировать и заинтересовать ставить высокие цели и большие задачи, а затем их реализовывать."
1037,"Лидерство на мировом рынке, отражающееся непосредственно на доходах каждого из вовлеченных в конкретную деятельность сотрудников"
1038,Научные Мега проекты .
1039,Развитие науки и технологий в России
1040,"Новые направления развития, новая продукция"
1041,"Лидирующие позиции на рынке, развитие Отечественной науки, повышение конкурентоспособности страны"
1042,Никакая. Они все равно остаются только словами на бумаге.
1043,"Понимание необходимости результатов деятельности каждого сотрудника для: - обеспечения безопасности нашей страны; - реализации преимущества России по сравнению с другими странами в науке, технологиях, разработках и т.п.; - безусловного и постоянного развития науки, технологий, разработок и т.п."
1044,Затрудняюсь ответить.
1045,мир и процветание
1046,Продвижение на предприятиях отрасли корпоративных ценностей.
1047,"любая общечеловеческая, лишь бы виден был результат"
1048,увеличение доли продукции на международном рынке
1049,Мой ежедневный труд и так достаточно осмысленнен
1050,Защищенность молодых сотрудников в профессиональной среде
1051,Создание новых бизнесов
1052,Повышение уровня жизни работников
1053,Быть на шаг впереди
1054,Синхронизация всех молодежных объединений в единую молодежную сеть
1055,приносить пользу стране.
1056,стабильный доход
1057,"Создание ядерного щита, как основного вида защиты России"
1058,Передовые процессы
1059,Новые цифровые продукты для ОПК и гражданского сектора.
1060,.
1061,мир во всем мире и бесплатная энергия
1062,"Развитие наукомких отраслей, цифровизация"
1063,Интересы сотрудников.
1064,применение атомной энергии в мирных целях
1065,"я хочу гордиться своей страной в общем и своим предприятием в частности. считаю, что ВНИИЭФ не должен быть лишь ядерным считом, но должен разрабатывать и показывать миру мощное современное вооружение. чтобы нас не только уважали, но и боялись."
1066,"Направленность и чёткое понимание, куда движется отрасль"
1067,Росатом и Россия - главные в моей жизни
1068,обеспечение обороноспособности России
1069,не знаю
1070,Повышение роста Росатома
1071,Все цели вдохновляют
1072,мир во всём мире и бесплатная энергия
1073,Карьерные перспективы
1074,Запуск лазерной установки!
1075,мир в мире
1076,Повышение престижа
1077,Выход на гражданскую продукцию.
1078,развитие науки и техники
1079,Поддержка ядерного щита РОССИИ.
1080,Если все поставленные и выполняемые задачи будут приносить пользу предприятию.
1081,"Если все поставленные задачи будут приносить пользу предприятию, а не бессмысленную трату рабочего времени на разработку невыполняемых планов."
1082,"Научный прорыв, принципиально новый виток в развитии современных технологий, например, телепортация."
1083,Инновационная деятельность и творческая реализация
1084,"укрепление обороноспособности России и как следствие, более независимая политика государства"
1085,Если все будет прозрачно!!!и всякого рода проверки и аудиты не будут подстроены !!!
1086,Непосредственное участие в международных проектах.
1087,Устойчиво развиваться и при этом обеспечить мир новыми продуктами на основе инновационных технологий во благо всего человечества.
1088,"Внедрение современных технологий не единично, а повсеместно"
1089,Лидерство на мировом рынке
1090,Продвижение новых технологий
1091,Внедрение собственных мировых стандартов в области автоматизации и атомной энергетики
1092,Единая команда Росатома
1093,Обеспечение безопасности России
1094,Востребованность моего труда и адекватная его оценка
1095,Организовать работу руководства так что б оно отвечало отвечало перед нижестоящими коллегами.
1096,Честность и открытость и Единая команда
1097,Понимание того что ты делаешь очень важно в достижении целей всей корпорации. Что твоя работа очень важна и именно ты работая в единой команде выполнять эту работу. Очень важно видеть результат своей деятельности.
1098,"Трансформация в полностью ""Цифровой Росатом"""
1099,Росатом - лидер на мировом рынке
1100,Создание новых продуктов и продвижение их на мировые рынки
1101,Ядерный щит страны
1102,Внедрение новых продуктов
1103,Защита страны.
1104,Комфортная рабочая атмосфера
1105,Чтобы я видела и понимала результат своей работы.
1106,"Обеспечение потребителей расположенных в зонах децентрализованного энергоснабжения надежными, качественными и экономически конкурентоспособными атомными энергоисточниками малой мощности"
1107,Работа в команде и новые задачи
1108,Увеличение благосостояния населения России
1109,Мой ежедневный труд всегда наполнен смыслом.
1110,создание единой команды
1111,"Транспарентность помыслов, самоотдача на каждом этапе, внимание к деталям"
1112,ааа
1113,Снижение кадрового голода на предприятиях ГК Росатом и популяризация инженерно-технических специальностей среди школьников.
1114,Развитие отрасли на мировой арене.
1115,Я вдохновлен на работу
1116,Обмен опытом и сотрудничество с другими специалистами госкорпорации.
1117,Оптимизация процессов
1118,реализация совместных проектов/задач.
1119,...
1120,"Мой труд наполнен смыслом, я люблю свою работу и горжусь что работаю в Росатоме. Вдохновить может несколько событий и действий: 1. Личный пример руководителей ""Не словом, а делом"" 2. Уделяйте внимание деталям, иначе гонка за ""большой целью"" только навредит."
1121,Цели росатома мало связаны с целями и потребностями рядовых сотрудников
1122,Развитие своих профессиональных навыков
1123,Создание новый прорывных продуктов
1124,Крупные интересные проекты.
1125,Работа с руководителями.
1126,Никакая. На работу вдохновляет уверенность в необходимости труда каждого работника
1127,"объединение в единую команду молодежи ГК ""Росатом"" и возможность обмена опытом на линейном уровне"
1128,"мысли о том, что наш труд не напрасен"
1129,"На первом дне информирования 2019 года Генеральный директор Госкорпорации «Росатом» А.Е. Лихачёв одним из приоритетов развития на 2019 год назвал «клиентоориентированность». Хотелось, чтобы главными «клиентами» Госкорпорации «Росатом» являлись её работники. «Большой целью» Росатома должно стать поднятие уровня жизни своих сотрудников, особенно ускоспециализированных научного и технического направлений, (а не только руководящей элиты) выше американского и европейского уровня по соответствующим профессиям. Данная цель соответствует одной из ценностей Росатома – «На шаг впереди!»."
1130,Возрождение России как великого государства с высоким благосостоянием и уровнем жизни ВСЕХ граждан нашей страны.
1131,Карьерный рост.
1132,Покорение космоса
1133,"Стремление соответствовать и превосходить ""лучшие мировые практики"" не только по показателям производительности/численности/прибыли, но и в части уровня вознаграждения работников (в особенности в регионах, по опыту общения с коллегами - в ГК и управляющих компаниях с этим все гораздо лучше. А разрыв между доходами ТОП-менеджмента отрасли и средней з/п на предприятии вообще может составлять более 50 раз). В начале текущего десятилетия, в период массовых оптимизаций (сокращений) на предприятиях Топливного Дивизиона, его руководство (Оленин Ю.А.) рассказывало о будущих средних з/п порядка 4 тыс.$. Однако в настоящий момент эта величина привязана к средней з/п по региону. Учитывая это ограничение, необходимости жить и работать в регионах (читай - в дали от цивилизации), а так же такие дополнительные ограничения как запрет на выезд из РФ, отрасль теряет много действительно талантливых и активных выпускников ВУЗов, ведь не все хотят работать ""за идею""."
1134,Реализация проектов по новым технологиям
1135,На шаг впереди.
1136,Необычная работа.
1137,Ростатом во всем мире - лидер атомной промышленности
1138,"Мы постоянно решаем важные задачи, наполненные смыслом. Считаю вопрос несколько некорректным."
1139,"стать лидером в атомной отрасли всего мира, как компании США заняли ИТ-сектор"
1140,Очень достойная з/п
1141,Участие в крупном космическом проекте! или в разработке новой уникальной технологии.
1142,Освоение новых эффективных технологий в отрасли
1143,Программы для молодежи
1144,Цель Росатома: выпуск сложной и наукоемкой продукции для самого придирчивого заказчика в срок и на высшем уровне по всей стране и по всему миру
1145,"Одна цель не может быть мотиватором - только совокупность целей и направлений будет способствовать в повышении компетенций молодых специалистов, а также сподвигать их на более конструктивную работу."
1146,повышение доли на мировых рынках
1147,"Вопрос сформулирован так, будто сейчас я не вдохновлен и не вижу смысла:) На самом деле я бы с восторгом воспринял цель - организацию открытого пространства для отраслевых стартапов и сокращение времени от идеи до продукта. А еще у вас баг в опросной форме: на предыдущий вопрос нет возможности выбрать ответ ""Другое"", т.к. нет поля для комментария."
1148,Возможность развития по карьерной частнице с учётном профессиональных возможностей. Возможность участвовать в работе по реальному проекту.
1149,Новые перспективные научные разработки и исследования в области фабрикации топлива с применением современного оборудования
1150,Создание самого передового и наукоемкого производства в мире
1151,Развитие науки и промышленности в стране
1152,- Внести существенный вклад в дело мира - Стать самой высокооплачиваемой компанией
1153,"Меня может вдохновить ""большая цель"" всей страны, а не одного Росатома."
1154,Продвижение новых продуктов
1155,"Зарубежные контакты,выставки,конференции Развиние новых направлений в отрасти в сфере IT, проектирования, интернет технологий и т.п Повышение з/п !!!"
1156,"Уверенность в том, что тебя не сократят или выведут за контур Росатома или аутсорсинг."
1157,Социальная поддержка
1158,Делать мир лучше и безопаснее
1159,"Снижение рисков экологических катастроф, как локальных, так и глобальных(например ""ядерная зима"")"
1160,"Смысла в моей работе и так с избытком. Цели Росатома бывают часто недосягаемы для понимания рядового сотрудника. Скорее ""местные"" цели становятся вдохновителями и мотиваторами в работе."
1161,"Стать лидером не только в атомной отрасли, но и в других высокотехнологичных отраслях"
1162,Мой ежедневный труд может наполнить смыслом 1) интересная работа 2) достойная компенсация труда 3) работоспособный коллектив
1163,"Если бы смысла в ежедневном труде не было, я бы здесь не работал"
1164,Стабильный заработок.
1165,Снижение себестоимости и сроков протекания процессов
1166,возможность карьерного роста
1167,"""Большая цель""- повешения эффективности Росатома в целом."
1168,Крупный проект КПИ
1169,Создание лучшей международной компании
1170,Некорректный вопрос
1171,социальная и экологическая приемлемость
1172,Участие в разработке действиетльно нового изделия.
1173,Поддержка молодых специалистов
1174,вдохновение
1175,"Наверное такая цель уже есть - быть лидером в на международном рынке, новые продукты на российском рынке..."
1176,"Польза для человечества. Поднятие уровня жизни человека, особенно работкника Росатома."
1177,увеличение дохода
1178,Новые продукты для российского рынка
1179,Обеспечение стабильного достойного будущего для молодых специалистов и их семей и как следствие заинтересованность специалистов в процветании компании и нацеленность на результат ради общего блага
1180,"Развитие и распространение отечественных технологий на мировом рынке. Я горжусь, что работаю в единственной отечественной отрасли конкурентоспособной на мировых рынках."
1181,Сохранение и развитие научно-технического потенциала страны
1182,"Создание новых продуктов, снижение себестоимости уже существующих продуктов за счет усовершенствования производственного цикла"
1183,"создание новых высокотехнологичных продуктов, аналогов которых нет в мире"
1184,Оставаться быть лидером и развивать инновационную деятельность в мировом масштабе
1185,"Какие то глобальные инициативы а-ля ""Атомная энергия в каждый дом""))) Но вообще, цель по продвижению атомной энергетики как одной из самых сбалансированных по критериям цена-безопасность-эффективность"
1186,"Доверяли решать самостоятельно многие вопросы, развиваться !"
1187,Создание новых продуктов для Российского и международного рынков.
1188,Освоение международных рынков
1189,"Все существующие на данный момент цели вдохновляют меня ежедневно делать свою работу на ""Отлично""."
1190,Моя работа меня уже вдохновляет.
1191,участие в новых проектах зарубежом
1192,"Вопрос некорректен. То есть без ""большой цели"" Росатома моя работа не сильно вдохновленная и не наполнена смыслом?"
1193,"Цель-продвижение Росатома, как на российском, так и на международном рынке."
1194,не готов ответить на вопрос
1195,Возможность ротации между предприятиями Росатома для повышения своих компетенций. Международные продукты.
1196,Создание проекта.
1197,"Интересные, логически понятные технические задачи. Которые смогут развить творческий потенциал работника отрасли."
1198,Большая цель
1199,"создание новых продуктов для российского и международного рынков, повышение доли уже существующих продуктов на внешнем рынке"
1200,Конкурентоспособность на мировом уровне
1201,"""Вдохновения"" и сейчас вполне достаточно, ежедневный труд и так переполнен ""смыслом""."
1202,Интересная и высокооплачиваемая работа.
1203,Работа на благо людям
1204,Понимание вклада каждого сотрудника в общие цели корпорации (безопасность т.д.)
1205,Догнать и перегнать Westinghouse и AREVA/FRAMATOME )
1206,"создание принципиально новых типов реакторов, использование мирного атома для новых отраслей промышленности и жизненной деятельности"
1207,"Уважение к молодым сотрудникам, возможность давать узнавать что то новое, получать опыт, социальные программы для молодёжи."
1208,"соблюдение ценностей Росатома, и самой главной уважение, уважение начальников к подчинённым и создание нормальных условий труда"
1209,"Знать, что топ менеджмент Росатома в курсе что происходит в их дивизионах подробнее."
1210,Развитие технологий где отставание от зарубежных аналогов.
1211,- повышение доли на международных рынках; - новые продукты для российского и международных рынков.
1212,"Для меня самое главное, это осознание, что мои действия кому-то помогут, кого-то вдохновят, а кого-то сделают лучше, добрее. Вот это осознание самой возможности сделать мир чуть лучше чем он есть для меня очень важно и уже придает сил."
1213,Какие либо прорывные проекты в которых я бы мог поучаствовать и быть первопроходцем!)))
1214,Продвижение продукции на международные рынки.
1215,Создание продукта позволяющего: - занимать лидирующие позиции на российском и международных рынках; - развивать новые направления; - развивать экономику страны.
1216,Дешевая зеленая энергия моим детям.
1217,Участие в получении международных патентов
1218,деньги
1219,"Создание неперехватываемых, незасекаемых гиперзвуковых баллистических ракет с термоядерными боеголовками первого удара для гарантированного уничтожения крупнейших городов и военных баз США. А после этого создание термоядерного ректора для достижения мировой гегемонии"
1220,"При подборе кадров на актуальные вакансии отдавать приоритет возможности роста работающему на нашем предприятии персоналу в соответствии с образованием и стажем работы, что даст стимул работы нашим кадрам и позволит сократить время адаптации работника на новом месте или исключить вовсе."
1221,покорение арктики
1222,Обеспечение достойного дохода своим сотрудникам
1223,Перспективные/интересные проекты
1224,"Затрудняюсь ответить. Хочется чувствовать и видеть, что твой труд очень важен."
1225,"Высокая зарплата, различные льготы, социальная программа"
1226,Оплата труда.
1227,"Новые продукты для российского и международных рынков, требующие новых инноваций"
1228,Участие в проектах: - по снижению себестоимости продукции; - по реализации неликвидов; - реорганизации складского хозяйства; - налаживании эффективных коммуникаций.
1229,Новые проекты нацеленные на создание новых продуктов для внутреннего и международного рынков.
1230,"Постоянная, поддерживаемая на всех уровнях и последовательная политика по сокращению времени протекания процессов, внедрению улучшений, оптимизации. Работа с нерациональными явлениями в работе."
1231,лидерство на мировом рынке атомной энергетики
1232,дальнейшая безопасная эксплуатация объектов ЯТЦ и АЭС
1233,"Наверное, ""новые продукты"". Интересно сталкиваться с новыми задачами в процессе разработки нового оборудования."
1234,Мир без границ; поддержка семейных ценностей; доступное образование; высокотехнологичное и доступное медицинское обеспечение
1235,"1 Обеспечение всех предприятий ""РОСАТОМА"" проектами и работами на перспективу. 2 ОПТИМИЗАЦИЯ ПРОЦЕССА ЗАКУПКИ МАТЕРИАЛОВ и ОФОРМЛЕНИЯ ДОГОВОРНЫХ ОТНОШЕНИЙ 3 Создание экспертных рабочих групп предприятий отрасли с целью разработки новых продуктов"
1236,Повышение благосостояния сотрудников
1237,социальная защищенность
1238,"Если инженер получает, как продавец, он не будет полноценно мотивирован на достижение наивысшего трудового результата. За 4,5 года зарплаты так и не догнали уровень 2013 года в то время, как с тех пор основные мировые валюты претерпели инфляцию. При том, что выручка предприятия теоретически увеличилась прямо пропорционально росту курса основных мировых валют (в рублях, в которых мы получаем зарплату), а с учетом сдерживания зарплат (за исключением руководства)... В общем, цели Росатома не учитывают цели его работников (работать продуктивно, жить без экономии на еде и одежде), соответственно ни одна цель не способна то, что указано в вопросе. P.S: Знаете, чем принципиально отличается работа инженером в Росатоме от работы блинопеком в ""Теремке""? Тем, что там дают ДМС через 2 года работы, а здесь сразу."
1239,"Повышение уровня лояльности населения к деятельности ГК ""Росатом"". Развитие бренда ""Корпорации знаний""."
1240,Работа над задачей результат которой зависит от тебя.
1241,практическая полезность отрасли
1242,быть первым
1243,"Интересные мероприятия, объединяющие молодежь Росатом"
1244,Повышение З/П
1245,Обеспечение людей электричеством.
1246,"увеличение иностранного портфеля заказов, продвижение топлива на зарубежном рынке"
1247,"Меня смогла бы вдохновить возможность стать частью чего то большего, чем просто технолог, я бы хотел быть реального проекта нацеленного на прорыв в технологическом и стратегическом плане."
1248,Цифровизация. Постоянное усовершенствование во всех направлениях. Новые продукты.
1249,"Смыслом и вдохновением мой ежедневный труд наполняют не цели Росатома, а свои личные цели и абмиции, в рамках которых мне безусловно придется выполнять и цели Росатома"
1250,"Переход на новые методы управления проектами (Scram, Kanban, Agile)"
1251,Технологическое лидерство
1252,да
1253,"Повышение качества и безопасности. Для этого необходимо повысить квалификацию персонала. А это значит, что специалисты получат больше знаний и выше зарплату."
1254,"премирование рабочих и работников, особенно работающих по 8-и часовому графику, которые перерабатывают, и добиваются успеха."
1255,Мир во всём мире
1256,"Постоянное совершенствование своих процессов. Завоевание новых рынков, а следствие развитие бизнес-процессов и расширение своего ""рабочего"" кругозора, т.к. однообразная рутинная работа надоедает."
1257,Сама работа в Росатоме вдохновляет!
1258,"Мой ежедневный труд на данный момент наполнен смыслом, для молодежи большой целью может являться понимание конечного результата в виде продукции, станции, процессов и т.п.."
1259,"Уверенность в реализации своих сил, а так же достойная оплата труда."
1260,я уже прошла опрос по миссии
1261,Вдохновляет участие в создании ледоколов
1262,Создание мощного атомного флота России!
1263,"Повышение доли не только на международных, но и на российском (неатомном) рынке. Установление такой внутриотраслевой цели, как поддержка нуждающихся категорий сотрудников (молодых сотрудников, приезжих сотрудников, молодых родителей и пр.) в т.ч. выходцев на пенсию с предприятий Росатома."
1264,Эффективность
1265,"Рисковое инвестирование в проекты молодых сотрудников. Помощь в организации бизнеса по идеям молодежи, на основе решения какого нибудь инвестиционного совета."
1266,Создание новой конкурентоспособной продукции
1267,Работа для обеспечения обороноспособности страны.
1268,"Разработка абсолютно новых продуктов и конструкций, связанных с работой групп во главе с талантливейшими ведущими инженерами-конструкторами"
1269,"вершить добрые дела , видеть результат своей работы!"
1270,Обеспечить мир инновациями на основе атомных технологий.
1271,Предоставление ежегодных оплачиваемых отпусков в удобное для работника время и ВОЗМОЖНОСТЬ сместить его относительно утвержденного графика!
1272,"участие в исследовательской работе совместно с зарубежными коллегами по фундаментальным проблемам всей земли, работа которая сможет хотя бы на малую часть затронуть быт и жизнь каждого человека, сделав ее проще легче и безопаснее. Таких проблем огромное количество и я не вижу смысла их перечислять."
1273,"Я люблю командные цели, к которым мы идем вместе и в результате получается большая победа! Возможно, некая результативность молодежи. Итоги подводятся в конце года на массовом мероприятии. Только критерии отбора должны быть равнозначны как для специалистов, так и для рабочих профессий. Это будет некой мотивацией для эффективной работы каждый день"
1274,"1. ""Не быть, а соответствовать"". Можно пони назвать арабским скакуном, только быстрее она от этого не побежит. Можно назвать сотрудника руководителем службы или отдела (абсолютно бестолкового специалиста, но хорошего клерка), только ожидаемого эффекта это не принесет."
1275,"Чтобы была стабильная работа, и соответственно ее оплата."
1276,завоевание рынка
1277,Обеспечение мирового лидерства в области атомной энергетики и систем контроля ионизирующих излучений
1278,Социальная ответственность организации
1279,Социальные программы для каждого работника. Развитие и карьерный рост молодых сотрудников. Вознонограждение за достижения. Создание корпорацией условий работы при которых каждый сотрудник будет заинтересован в результате своей работы и сможет получить признание за личный вклад в общее дело.
1280,"Понимание того, что твоя работа важна твоей стране и людям, которые в ней проживают. Участие в масштабных мировых проектах."
