,Answers,Number of Words,answers_without_stopwords,cleaned_answers,cleaned_answers_lemm,Topic,Count,Name,words
875,"Быть лидирующей мировой корпорацией в области энергетики! При этом термин ""Лидирующая"" должен отражать не только уровень авторитета и компетенции, но и соответствующие этому уровню зарплаты всех работников, а не только ""топ""руководителей.",31,"Быть лидирующей мировой корпорацией области энергетики! При термин ""Лидирующая"" должен отражать уровень авторитета компетенции, соответствующие этому уровню зарплаты работников, ""топ""руководителей.",быть лидирующей мировой корпорацией области энергетики  при термин  лидирующая  должен отражать уровень авторитета компетенции  соответствующие этому уровню зарплаты работников   топ руководителей ,быть лидировать мировой корпорация область энергетика при термин лидировать должный отражать уровень авторитет компетенция соответствующий этот уровень зарплата работник топ руководитель,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
876,"для меня лично это уверенность в будущем, то есть не непрерывные преобразования, сокращения, объединения, разъединения, переименования, что в общем то по моему лишь видимость работы и способы отмывания и осваивания денег, а конкретные видимые результатымоей деятельности и деятельности росатома конкретно в моем городе, а не где то там, в красивых отчетах. пока на месте, конкретно здесь, на уэхк и моем предприятии, сейчас оно Центротех, все плохо и становиться только хуже никакие красивые визуализации и презентации на днях информирования меня и других работников ни в чем не убедят.",87,"лично это уверенность будущем, непрерывные преобразования, сокращения, объединения, разъединения, переименования, общем моему лишь видимость работы способы отмывания осваивания денег, конкретные видимые результатымоей деятельности деятельности росатома конкретно моем городе, там, красивых отчетах. пока месте, конкретно здесь, уэхк моем предприятии, оно Центротех, плохо становиться хуже никакие красивые визуализации презентации днях информирования других работников убедят.",лично это уверенность будущем  непрерывные преобразования  сокращения  объединения  разъединения  переименования  общем моему лишь видимость работы способы отмывания осваивания денег  конкретные видимые результатымоей деятельности деятельности росатома конкретно моем городе  там  красивых отчетах  пока месте  конкретно здесь  уэхк моем предприятии  оно центротех  плохо становиться хуже никакие красивые визуализации презентации днях информирования других работников убедят ,лично это уверенность будущее непрерывный преобразование сокращение объединение разъединение переименование общий мой лишь видимость работа способ отмывание осваивание деньга конкретный видимый результатымоя деятельность деятельность росатом конкретно мой город там красивый отчёт пока место конкретно здесь уэхк мой предприятие оно центротех плохо становиться плохой никакой красивый визуализация презентация день информирование другой работник убедить,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
877,"Завоевание мировых рынков с получением прибыли, которая частично будет направлена на улучшение благосостояния сотрудников, участвующих в процессах достижения цели.",19,"Завоевание мировых рынков получением прибыли, которая частично направлена улучшение благосостояния сотрудников, участвующих процессах достижения цели.",завоевание мировых рынков получением прибыли  которая частично направлена улучшение благосостояния сотрудников  участвующих процессах достижения цели ,завоевание мировой рынок получение прибыль который частично направить улучшение благосостояние сотрудник участвовать процесс достижение цель,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
878,"На мой взгляд, наибольшей актуальностью (применительно к конструкторской форме своей производственной деятельности) должна являться стратегическая цель - ""Новые продукты для российского и международных рынков"", что позволит укрепить и повысить в целом финансово-экономический потенциал как ООО ""НПО ""Центротех"", так и каждого отдельно взятого работника нашего предприятия, включая сотрудников любой категорийности.",49,"На взгляд, наибольшей актуальностью (применительно конструкторской форме своей производственной деятельности) должна являться стратегическая цель - ""Новые продукты российского международных рынков"", позволит укрепить повысить целом финансово-экономический потенциал ООО ""НПО ""Центротех"", каждого отдельно взятого работника нашего предприятия, включая сотрудников любой категорийности.",на взгляд  наибольшей актуальностью  применительно конструкторской форме своей производственной деятельности  должна являться стратегическая цель    новые продукты российского международных рынков   позволит укрепить повысить целом финансово экономический потенциал ооо  нпо  центротех   каждого отдельно взятого работника нашего предприятия  включая сотрудников любой категорийности ,на взгляд больший актуальность применительно конструкторский форма свой производственный деятельность должный являться стратегический цель новый продукт российский международный рынок позволить укрепить повысить целое финансово экономический потенциал ооо нпо центротех каждый отдельно взять работник наш предприятие включая сотрудник любой категорийность,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
879,"Достижение конкретной цели (не в денежном эквиваленте), которая позволяет нашей Родине подтвердить статус великой державы и государства заботящегося о своих гражданах.",21,"Достижение конкретной цели (не денежном эквиваленте), которая позволяет нашей Родине подтвердить статус великой державы государства заботящегося своих гражданах.",достижение конкретной цели  не денежном эквиваленте   которая позволяет нашей родине подтвердить статус великой державы государства заботящегося своих гражданах ,достижение конкретный цель не денежный эквивалент который позволять наш родина подтвердить статус великий держава государство заботиться свой гражданин,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
880,"Мне сложно ответить на этот вопрос. Я и так вдохновлен своей работой, т.к. я работаю на строящемся предприятии и я понимаю какую огромную роль мы вносим в развитие ""Росатома"".",29,"Мне сложно ответить вопрос. Я вдохновлен своей работой, т.к. работаю строящемся предприятии понимаю какую огромную роль вносим развитие ""Росатома"".",мне сложно ответить вопрос  я вдохновлен своей работой  т к  работаю строящемся предприятии понимаю какую огромную роль вносим развитие  росатома  ,я сложно ответить вопрос я вдохновить свой работа так к работать строиться предприятие понимать какой огромный роль вносить развитие росатом,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
881,"Ввести здравый смысл в работу, удалив дармоедов, организации - прокладки, кучу ненужных регламентов и документов",15,"Ввести здравый смысл работу, удалив дармоедов, организации - прокладки, кучу ненужных регламентов документов",ввести здравый смысл работу  удалив дармоедов  организации   прокладки  кучу ненужных регламентов документов,ввести здравый смысл работа удалить дармоед организация прокладка куча ненужный регламент документ,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
882,Вдохновить может любая масштабная задача направленная на укрепление позиций Росатома на мировом рынке. Однако главным условием будет являться ощущение причастности. Лично для меня неоценимый вес имеет ощущение моего личного вклада в общее дело.,33,Вдохновить любая масштабная задача направленная укрепление позиций Росатома мировом рынке. Однако главным условием являться ощущение причастности. Лично неоценимый вес имеет ощущение моего личного вклада общее дело.,вдохновить любая масштабная задача направленная укрепление позиций росатома мировом рынке  однако главным условием являться ощущение причастности  лично неоценимый вес имеет ощущение моего личного вклада общее дело ,вдохновить любой масштабный задача направить укрепление позиция росатом мировой рынок однако главный условие являться ощущение причастность лично неоценимый вес иметь ощущение мой личный вклад общий дело,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
883,"Новые производства (любых товаров/услуг) - во всех городах присутствия РОСАТОМ. Чем больше будет людей работать в производстве товаров-услуг, тем больше будет гордости и вдохновения к работе.",26,"Новые производства (любых товаров/услуг) - городах присутствия РОСАТОМ. Чем людей работать производстве товаров-услуг, гордости вдохновения работе.",новые производства  любых товаров услуг    городах присутствия росатом  чем людей работать производстве товаров услуг  гордости вдохновения работе ,новый производство любой товар услуга город присутствие росатом чем человек работать производство товар услуга гордость вдохновение работа,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
884,Большая цель - Большая Зарплата,5,Большая цель - Большая Зарплата,большая цель   большая зарплата,больший цель больший зарплата,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
885,Ставить перед собой все новые и новые задачи и выполнять стратегические цели Росатома.,13,Ставить собой новые новые задачи выполнять стратегические цели Росатома.,ставить собой новые новые задачи выполнять стратегические цели росатома ,ставить себя новый новый задача выполнять стратегический цель росатом,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
886,"Развития предприятия, вклад каждого в общее дело.",7,"Развития предприятия, вклад каждого общее дело.",развития предприятия  вклад каждого общее дело ,развитие предприятие вклад каждый общий дело,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
887,"Принять к сведению содержание статьи ""Что будет, когда китайцы достроят «искусственное солнце»? Новая эра или тотальное обнищание России?"" Ссылка на источник далее. https://zen.yandex.ru/media/istoricheskie_fakty/chto-budet-kogda-kitaicy-dostroiat-iskusstvennoe-solnce-novaia-era-ili-totalnoe-obniscanie-rossii-5c861198a7af8400b34ce254",23,"Принять сведению содержание статьи ""Что будет, китайцы достроят «искусственное солнце»? Новая эра тотальное обнищание России?"" Ссылка источник далее. https://zen.yandex.ru/media/istoricheskie_fakty/chto-budet-kogda-kitaicy-dostroiat-iskusstvennoe-solnce-novaia-era-ili-totalnoe-obniscanie-rossii-5c861198a7af8400b34ce254",принять сведению содержание статьи  что будет  китайцы достроят «искусственное солнце»  новая эра тотальное обнищание россии   ссылка источник далее  https   zen yandex ru media istoricheskie fakty chto budet kogda kitaicy dostroiat iskusstvennoe solnce novaia era ili totalnoe obniscanie rossii caafbce,принять сведение содержание статья что быть китаец достроить «искусственный солнце» новый эра тотальный обнищание россия ссылка источник далее https zen yandex ru media istoricheskie fakty chto budet kogda kitaicy dostroiat iskusstvennoe solnce novaia era ili totalnoe obniscanie rossii caafbce,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
888,"Создание продуктов высокого качества, которые будут иметь абсолютные преимущества перед конкурентами, тем самым вызывая интерес большого количества заказчиков и интенсивно увеличивая портфель заказов Госкорпорации. Если в двух словах - создание привлекательного с точки зрения инвесторов продукта высочайшего качества.",38,"Создание продуктов высокого качества, которые будут иметь абсолютные преимущества конкурентами, самым вызывая интерес большого количества заказчиков интенсивно увеличивая портфель заказов Госкорпорации. Если двух словах - создание привлекательного точки зрения инвесторов продукта высочайшего качества.",создание продуктов высокого качества  которые будут иметь абсолютные преимущества конкурентами  самым вызывая интерес большого количества заказчиков интенсивно увеличивая портфель заказов госкорпорации  если двух словах   создание привлекательного точки зрения инвесторов продукта высочайшего качества ,создание продукт высокий качество который быть иметь абсолютный преимущество конкурент самый вызывать интерес большой количество заказчик интенсивно увеличивать портфель заказ госкорпорация если два слово создание привлекательный точка зрение инвестор продукт высокий качество,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
889,Мой ежедневный труд наполнен смыслом.,5,Мой ежедневный труд наполнен смыслом.,мой ежедневный труд наполнен смыслом ,мой ежедневный труд наполнить смысл,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
890,"Мероприятие для сотрудников корпорации в форме конкурса, позволяющее показать в полной мере способности и умения работника в профессиональном и в творческом плане,своего рода набор заданий, выполнение которых позволит получить материальное вознаграждение или ценный подарок, либо путешествие.",36,"Мероприятие сотрудников корпорации форме конкурса, позволяющее показать полной мере способности умения работника профессиональном творческом плане,своего рода набор заданий, выполнение которых позволит получить материальное вознаграждение ценный подарок, либо путешествие.",мероприятие сотрудников корпорации форме конкурса  позволяющее показать полной мере способности умения работника профессиональном творческом плане своего рода набор заданий  выполнение которых позволит получить материальное вознаграждение ценный подарок  либо путешествие ,мероприятие сотрудник корпорация форма конкурс позволять показать полный мера способность умение работник профессиональный творческий план свой род набор задание выполнение который позволить получить материальный вознаграждение ценный подарок либо путешествие,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
891,"Сейчас большая и первоочерёдная цель Росатома - это внедрение новых технологий и развитие цифровой трансформации. Считаю, что работа в данной сфере даст серьёзные плоды. С Цифровой трансформацией мы сможем вывести не только Росатом на новый уровень бизнеса, но и поставить Россию на первую ступень пьедестала цифровых технологий мира!",48,"Сейчас большая первоочерёдная цель Росатома - это внедрение новых технологий развитие цифровой трансформации. Считаю, работа данной сфере даст серьёзные плоды. С Цифровой трансформацией сможем вывести Росатом новый уровень бизнеса, поставить Россию первую ступень пьедестала цифровых технологий мира!",сейчас большая первоочерёдная цель росатома   это внедрение новых технологий развитие цифровой трансформации  считаю  работа данной сфере даст серьёзные плоды  с цифровой трансформацией сможем вывести росатом новый уровень бизнеса  поставить россию первую ступень пьедестала цифровых технологий мира ,сейчас больший первоочерёдный цель росатом это внедрение новый технология развитие цифровой трансформация считать работа дать сфера дать серьёзный плод с цифровой трансформация смочь вывести росатом новый уровень бизнес поставить россия первый ступень пьедестал цифровой технология мир,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
892,Большая цель - большой космос,5,Большая цель - большой космос,большая цель   большой космос,больший цель большой космос,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
893,"Вдохновить может любая рациональная производственная задача, подкрепленная льготной программой обеспечения жильем работников Госкорпорации ""Росатом"". Аналогичная программа была внедрена  на АО ""МСЗ"" (г. Электросталь, Московская область), но по какой-то причине не была принята в отрасли, была отвергнута руководством кадровой службы Госкорпорации ""Росатом"". Голые лозунги при отсутствии социальной политики работать не будут.",50,"Вдохновить любая рациональная производственная задача, подкрепленная льготной программой обеспечения жильем работников Госкорпорации ""Росатом"". Аналогичная программа внедрена АО ""МСЗ"" (г. Электросталь, Московская область), какой-то причине принята отрасли, отвергнута руководством кадровой службы Госкорпорации ""Росатом"". Голые лозунги отсутствии социальной политики работать будут.",вдохновить любая рациональная производственная задача  подкрепленная льготной программой обеспечения жильем работников госкорпорации  росатом   аналогичная программа внедрена ао  мсз   г  электросталь  московская область   какой то причине принята отрасли  отвергнута руководством кадровой службы госкорпорации  росатом   голые лозунги отсутствии социальной политики работать будут ,вдохновить любой рациональный производственный задача подкрепить льготный программа обеспечение жильё работник госкорпорация росатом аналогичный программа внедрить ао мсз г электросталь московский область какой то причина принять отрасль отвергнуть руководство кадровый служба госкорпорация росатом голый лозунг отсутствие социальный политика работать быть,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
894,"Я осознаю ценность моего ежедневного труда, доверяю выбору Росатома. Поэтому если возникнут новые ""большие цели"" Росатома - буду рада участвовать и в дальнейших проектах ГК.",25,"Я осознаю ценность моего ежедневного труда, доверяю выбору Росатома. Поэтому возникнут новые ""большие цели"" Росатома - буду рада участвовать дальнейших проектах ГК.",я осознаю ценность моего ежедневного труда  доверяю выбору росатома  поэтому возникнут новые  большие цели  росатома   буду рада участвовать дальнейших проектах гк ,я осознавать ценность мой ежедневный труд доверять выбор росатом поэтому возникнуть новый больший цель росатом быть рада участвовать дальнейший проект гк,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
895,"""Большая цель"" которая сможет сделать жизнь большинства россиян лучше, в том числе и мою. То есть та цель, результаты которой я могу увидеть своими глазами и результатами которой я могу пользоваться, а также если эта работа для этой цели будет хорошо оплачиваться.",42,"""Большая цель"" которая сможет сделать жизнь большинства россиян лучше, числе мою. То та цель, результаты которой могу увидеть своими глазами результатами которой могу пользоваться, также эта работа цели оплачиваться.", большая цель  которая сможет сделать жизнь большинства россиян лучше  числе мою  то та цель  результаты которой могу увидеть своими глазами результатами которой могу пользоваться  также эта работа цели оплачиваться ,больший цель который смочь сделать жизнь большинство россиянин хороший число мой то тот цель результат который мочь увидеть свой глаз результат который мочь пользоваться также этот работа цель оплачиваться,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
896,"Участие в работе предприятия по замыканию ЯТЦ, по созданию новой высокотехнологичной продукции, в работе в области создания новых источников энергии - это те задачи, которые ежедневно ставит перед мной руководство предприятия и Госкорпорации ""Росатом"".",34,"Участие работе предприятия замыканию ЯТЦ, созданию новой высокотехнологичной продукции, работе области создания новых источников энергии - это те задачи, которые ежедневно ставит мной руководство предприятия Госкорпорации ""Росатом"".",участие работе предприятия замыканию ятц  созданию новой высокотехнологичной продукции  работе области создания новых источников энергии   это те задачи  которые ежедневно ставит мной руководство предприятия госкорпорации  росатом  ,участие работа предприятие замыкание ятц создание новый высокотехнологичный продукция работа область создание новый источник энергия это тот задача который ежедневно ставить я руководство предприятие госкорпорация росатом,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
897,"Все цели,которые ежедневно ставит мне руководство предприятия, а также Госкорпорации ""Росатом"" вдохновляют на работу и наполняют смыслом мой ежедневный труд.",20,"Все цели,которые ежедневно ставит руководство предприятия, также Госкорпорации ""Росатом"" вдохновляют работу наполняют смыслом ежедневный труд.",все цели которые ежедневно ставит руководство предприятия  также госкорпорации  росатом  вдохновляют работу наполняют смыслом ежедневный труд ,всё цель который ежедневно ставить руководство предприятие также госкорпорация росатом вдохновлять работа наполнять смысл ежедневный труд,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
898,Мой ежедневный труд и так наполнен смыслом. Предлагаю самым серьёзным образом подойти с созданию единой отраслевой интегрированной информационной системы CALS/ИПИ/PLM для управления полным жизненным циклом АЭС начиная от принятия решения о строительстве АЭС и заканчивая выведением из эксплуатации. При создании применить самые передовые и современные научные достижения и цифровые технологии.,50,Мой ежедневный труд наполнен смыслом. Предлагаю самым серьёзным образом подойти созданию единой отраслевой интегрированной информационной системы CALS/ИПИ/PLM управления полным жизненным циклом АЭС начиная принятия решения строительстве АЭС заканчивая выведением эксплуатации. При создании применить самые передовые современные научные достижения цифровые технологии.,мой ежедневный труд наполнен смыслом  предлагаю самым серьёзным образом подойти созданию единой отраслевой интегрированной информационной системы cals ипи plm управления полным жизненным циклом аэс начиная принятия решения строительстве аэс заканчивая выведением эксплуатации  при создании применить самые передовые современные научные достижения цифровые технологии ,мой ежедневный труд наполнить смысл предлагать самый серьёзный образ подойти создание единый отраслевой интегрировать информационный система cals ипи plm управление полный жизненный цикл аэс начинать принятие решение строительство аэс заканчивать выведение эксплуатация при создание применить самый передовой современный научный достижение цифровой технология,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
899,"Нацеленность на фактический коммерческий результат, когда важен сам эффект коммерческий,а не процессность, когда руководители не мешают вносить изменения в действующие процессы и не применяют меры дисциплинарного воздействия к грамотным и здравомыслящим подчинённым, а стремятся и поддерживают формат изменений, подход к решению вопросов на горизонтальном уровне взаимодействия. Инициатива наказуема - реальность Росатома. Работать на высоком качественном уровне, зачастую, просто невыгодно или опасно для развития и карьеры внутри отрасли.",67,"Нацеленность фактический коммерческий результат, важен эффект коммерческий,а процессность, руководители мешают вносить изменения действующие процессы применяют меры дисциплинарного воздействия грамотным здравомыслящим подчинённым, стремятся поддерживают формат изменений, подход решению вопросов горизонтальном уровне взаимодействия. Инициатива наказуема - реальность Росатома. Работать высоком качественном уровне, зачастую, просто невыгодно опасно развития карьеры внутри отрасли.",нацеленность фактический коммерческий результат  важен эффект коммерческий а процессность  руководители мешают вносить изменения действующие процессы применяют меры дисциплинарного воздействия грамотным здравомыслящим подчинённым  стремятся поддерживают формат изменений  подход решению вопросов горизонтальном уровне взаимодействия  инициатива наказуема   реальность росатома  работать высоком качественном уровне  зачастую  просто невыгодно опасно развития карьеры внутри отрасли ,нацеленность фактический коммерческий результат важный эффект коммерческий а процессность руководитель мешать вносить изменение действовать процесс применять мера дисциплинарный воздействие грамотный здравомыслящий подчинённый стремиться поддерживать формат изменение подход решение вопрос горизонтальный уровень взаимодействие инициатива наказуемый реальность росатом работать высокий качественный уровень зачастую просто невыгодный опасно развитие карьера внутри отрасль,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
900,"Текущие цели Росатома, на данный момент, полностью с этим справляются.",10,"Текущие цели Росатома, данный момент, полностью этим справляются.",текущие цели росатома  данный момент  полностью этим справляются ,текущий цель росатом данный момент полностью это справляться,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
901,"Содержание моей текущей работы всегда наполнено смыслом! На мой взгляд, ""большая идея"" или ""большая цель"" Росатома в долгосрочной перспективе - это производство и реализация широкого спектра отечественного производственного оборудования, гражданской продукции. Научный, человеческий и финансовый капитал Росатома может стать существенным преимуществом перед зарубежными компаниями не только в атомной энергетике, но и других отраслях.",53,"Содержание моей текущей работы наполнено смыслом! На взгляд, ""большая идея"" ""большая цель"" Росатома долгосрочной перспективе - это производство реализация широкого спектра отечественного производственного оборудования, гражданской продукции. Научный, человеческий финансовый капитал Росатома стать существенным преимуществом зарубежными компаниями атомной энергетике, других отраслях.",содержание моей текущей работы наполнено смыслом  на взгляд   большая идея   большая цель  росатома долгосрочной перспективе   это производство реализация широкого спектра отечественного производственного оборудования  гражданской продукции  научный  человеческий финансовый капитал росатома стать существенным преимуществом зарубежными компаниями атомной энергетике  других отраслях ,содержание мой текущий работа наполнить смысл на взгляд больший идея больший цель росатом долгосрочный перспектива это производство реализация широкий спектр отечественный производственный оборудование гражданский продукция научный человеческий финансовый капитал росатом стать существенный преимущество зарубежный компания атомный энергетика другой отрасль,0,347,0_цель_работа_труд_смысл,"['цель', 'работа', 'труд', 'смысл']"
